

OBAMA,22/04/17 22:22:43,Clock In
OBAMA,22/04/17 22:26:29,Clock In
AMAAN,22/04/17 22:27:52,Clock Out
RITIK,22/04/18 11:10:49,Clock In
RITIK,22/04/18 11:11:04,Clock Out
OLIVIA,22/04/18 11:14:53,Clock In
OLIVIA,22/04/18 11:15:07,Clock Out
